review,general
kamar bersih tdk ad panas air d dlm kamar wifi lot channel tv bintik sarap nasi goreng,neut
balkon banyak puntung rokok wifi ga alas kamar pojok kunci toilet nya rusak kamar nya bersih tenang harga sahabat,neut
kecoa kamar mandi ac kurang dingin air panas malam hari tdk nyala,neg
lambat check out harus jam check out jam barang sudah keluar kamar pikir bijak hotel ini informasi lebuh,neut
kamar bersih cuma biasa snack kok gak ya ada lift jadi lumayan lah naik turun lantai pake tangga,neg
kamar mandi kurang bersih air asin,neg
layan airy room eco pasteur cipedes tengah receptionis kurang ramah check in air panas kecil channel tv sedikit kasur kurang nyaman selimbut tipis padahal suhu pasteur dingin check out caricari jaga office utk serah kunci ada jaga receptionis,neg
cukup nyaman toilet kurang sedap wangi moga sukses trs hotel selalu beri layan baik,neg
wangi kamar perlu ditingkatkab,neg
front office kurang welcome tamu bersih kurang banget lokasi parkir yg terlalu minim thanks,neg
staf cepat tanggap ramah rasa makan lumayan lokasi dekat mega mall desain hotel antik cuma sayang lantai kamar mandi kurang desain bagus kalau mandi air bisa alir buang air mandi kurang panas,neg
kapasitas air panas yg kurang pada tiba malam kondisi hujan lsg mandi tp malah mati saat bilas,neg
kamar bersih toilet banyak cacing,neut
kamar nya so far baik lumayan bersih luas banyak kurang nya waktu check in nya jam lama hotel seluruh gak tarik hospitality staf nya kurang banget ac kamar kurang dingin sarap mulai jam menu nya gak tarik kaya jajan warteg gak dessert nya,neg
ac nya kurang asa kamar bocor tugas kurang sigap pelayanankamar mandi kurang bersih,neg
hotel bersih layan nya baik staffnya ramah air panas tdk fungsi,pos
tempat kotor remote tv fungsi ac bocor tidak remote,neg
kamar bau jorok sprei bekas tamu lama digantiin ac dingin kamar mandi jorok rusak makan enak tv kuno rusak gorden bau sekali bantal bau masuk kamar langsung bau sedappenerangan kamar sekitar gelap,neg
lama hari inap kasih handuk tanya sedang laundry hari tanya sedang jemur kata lupa bersih tidak jaga,neg
letak strategis tengah kota dekat dgn stasiun alunalun malang staf ramah kamar bersih kurang air panas kamar yg sy tempat mati padahal kamar belah air panas fungsi,neg
layan kurang ramah ada senyum customer service justru bagai tamu sempat ledek malah ada almari selimut handuk ada satu tv kabel ada channel yg di tonton,neg
kamar di sedia di ikan layan ganti tempat langgan cari sendiri,neg
ada koneksi wifi menu sarap cenderung menu makan siang,neg
kurang baik pelayanannyamasa tamu hrs diketawainsy bayar koq,neg
kamar bersih rapih kamar mandi suka bau tiba tiba moga depan lebih baik over all oke,pos
kamar luas nyaman minus ac kurang dingin lebih muas,neg
macam mimpi buruk resepsionis tdk ramah tdk fleksibel kamar blm siap sampe jam tamu tunggu listrik mati pagi hari hampir khabis udara dlm uang deposit tdk kembali kalau butuh tip jgn cara sy tdk kalian rasa rupa timbang matang pilih airy yg,neg
kamar cukup bersih nyaman meski ukur tdk luas lihat foto cukup banyak nyamuk temu dalam kamar kamar mandi bau di awal angsur hilang pakai tv tdk tayang internasional bosan lebih cukup baik layan ramah security jam all pretty good,pos
snak makan ringan ga sih,neut
kamar yg dapat sesuai yg tera airy airy tulis deluxe sampai hotel dapat kamar superior bersih kamar lumayan lah kalau kamar mandi sorry to say but its the worst ive ever visited desain yg kurang tepat jadi lemari bawah wastafel penuh jamur kamar mandi jadi bau apek,neg
air panas jalan kamar mandi bau rokok terang kurang,neg
kotor tidak bagus servicenya kapok banget,neg
kali kurang muas kamar pintu kamar susah kunci seprei kasur masa banyak bolong,neg
inisiatif fasilitas air aqua utilities snack jaga kurang alangkah lebih baik beri direquest,neg
ac nya mati mati terus jdi ganggu waktu istrahatnya,neut
layan sangat ramah tamu lokasi strategis dekat stasiun menit jalan kaki sayang wifinya sampai kamar,neg
sinyal wifi masuk dalam kamar air kurang besar,neg
kamar nyaman cari makan mudah tp ko sinyal dalam kamar susah,pos
ac nya panas,neut
ruang sangat bagus nyaman recommended saja tempat tidur perlu perhati bersih,pos
semua oke kamar bau got mungkin dr air gimana,neg
dri jm pagi di usir chekout alas tamu,neut
bagus cuma kurang bersih aja,neg
staff ramah cuma wifi kamar jangkau,neg
hotel bagus krn baru blm bau apek snang sllu nginap d sini,pos
murat lumayan laah banyak kecoa kecil kamar selimut kurang bersih banyak bercak,neg
bersih kamar perhati,neut
sangat strategis tempat lokasi untuk acnya kurang dingin kamar,neg
kamar kurang bersih air susahair panas ngak,neg
jadi inap sana tempat tidak ada awat masuk bau bangkai,neg
kamar luas bersih air panas fungsi,neg
handuk kotor sprei banyak bercak wc kotor,neut
so bad booking udh jauh hari pas check in dpt room yg ac nya rusak parah dsuruh nunggu baik ac selesai proses pindah kmr dr jam checkin jam udh lelah mau istirahat malah suruh tunggu alas kamar full jd ga bs pindah kmr complain airy baru tindak pindah kmr dr pihak hotel listrik bolak balik mati,pos
bersih lemari perabot ada wifi,neg
ac seperti diservice,neut
proses check in cepat kamar bersih luassetup airy kurang snack cuma bungkus plastik kotak biru khas airy bed cover strip biru khas airy ada jendela rusak tidsk kunci keran wastafel rusak mohon baik hotel,neg
acnya dingin tidak tissunya sama laundrynya betul troble jadi handuk cuman,neg
kamar nya kotor,neut
layan mohon halus fasilitas bagus,pos
fasilitas lumayan sesuai harga makan pagi dekat stasiun cirebon kamar mandi kurang bersih air nya alir kecil utk depan mudah baik khusus fasilitas kamar mandi terimakasih,neg
salur ac ke kamar mandi baik masalah gak enak banget buang air kena tetes air selang buang ac,pos
kamar panas room ac janji kan baik dalam menit jam siang slsai stgah baru boleh minta hidup lalu baru tengah jam minta matiin buat baik ac kesal jam akhir nya saya keluar padahal minta pindah room alas room nya ada,neg
hotel bagus pemandanganya bagus tp sus buat kamat airynya bener beda sekali kamar lai kamar airynya banyak sarang laba tempat tidur yg ga nyaman per asa banget bad sudah miring ase kamat tdak dingin apa kamar ada fentilasi sama sekali jadi makin asa gap,neg
ah diksih bau rokok,neut
bersih sprei ttp jaga tapi overall semua okeee,neut
kamar sempit air mineral snack khas airy bantal airy tdk ada receiptionistnya kurang ramah jauuh beda dgn airy room yg harga bawah,neg
tempat bagus besar bersih kirang banyak rambut bantal,pos
kamar mandi air hangat rusak,neut
wastafel macet kamar kurang bersih sela lemari banyak sawang,neg
kamar wangi sekali bersih nyaman cuma satu ac kurang dingin mas,neg
baik sarung bantal spreinya beri aroma harum tidak bau,neg
masuk isi kamar bau pesing saya beli wangi ruang,neut
kamar rapi wangi dapet gift coklat lg tp sayang kamar mandi kotor bekas jaring laba standing shower binatang kecil bawah wastafel ada kecoanya,neut
ada yg kesan ac kurang dingin snack box kosong kunci kamar fungsi pakai kunci master resepsionis tissu toilet habis air panas kamar mandi fungsi,neg
sinyal hp jelek wifi batas,neg
kurang bersih kamar mandi seprei selimut jg wrnanya sdh lusuh,neg
lumayantapi kurang bersih,neg
layan super ramah kamar mandi sedikit kurang bersih kalau kamar oke besar bersih recommended,neg
kamar hotel sangat bagus bersih yg kurang,neg
minus receptionis laki kurang ramah,neg
ruang luas tv nya channel nya dikit yg flush toilet sm wastafel nya mati lobi nya gak bersih,neut
resepsionis ramah sama sekali malah kes remeh tamu wanita jilbab kamar kotor sprei dekil kasur ambles air kemas sedia padahal kata di sedia botol postifnya air panas,neg
nyaman kamar luas wifi dengan lokal hotel bisa wifiid akses sarana penting dekat,pos
jangan inap sini deh mending cari hotel kelas deluxe kayak ekonomi sempit sekali wc bau colok listrik ada mau charger hp gak nghabiskan duit ajasangat kecewa,neg
kamar kotor bantal bau dinding kayak lembab kamar mandi kotor,neut
dikunciin luar alesannya jam malem kunci,neut
kamar kotor tv bisa air minum ada,neg
lengkap fasilitas makan ringan kamar ok tempat tidur kurang nyaman asa banget per nya badan kemudian bantal kecil warna biru bau sudah lama ganti but overall is good,neg
pesan kamar double bad dpetnya twin bad handuk kotor snacks minta dlu baru kasih kamar lantai tdk yg bantu angkat koper ke kamar ada lift,neg
kamar sesuai kamar gak bantal guling airy alat mandi airy room,neg
ac nya prlu tingkat air panasny jg prlu tambah lebih bagus,neg
kurang puas sama layan deposit ribet,neg
pintu kamar mandi gabisa kunci acnya gadingin kecoanya,neut
adalah alam buruk inap hotel fasilitas beri semua buruk mulai bantal kamar mandi sprei kotor sofa penuh semut ac tidak fungsi lemari rusak tv tidak sinyal hingga wasthtafel seperti rumah makan yang buruk tidak sesuai harap,neg
kamar kotor ada tempat sampah sabun kakar mandi habis shower alir kencang,neg
oke saja lantai lengket tidak sih,neg
letak mudah temu dekat tempat makan ac terlalu dingin lampu yg gak nyala wifi gak sampe kamar sinyal hp susah,neg
kasih kamar biasa bukan airy room komplain tidak di respon,neg
ke x nginap sini kamar luas loaksai strategis sarap enak layan ramah wifi lot dikit,neut
kamar gelap ada lampu mati air panas fungsi hotel gunung salak lihat jelas,neg
sdh baik ac kurang dingin,neg
shower buat air panas nggk jalanjdi mandi air dingin kecoa semut n tikus jadi berisik,neg
lebih kedai nya cuma jam sore udah tutup tv salur tentu gambar goyang ga,neut
bersih kurang jaga,neg
bersih kamar kurang jaga temu kaus kaki bau lemari entah punya siapa arti cs teliti bersih sudut kamar jg sarang laba kotor serpih mi instan lantai pegawai ramah sopan free kopi teh lobby,neg
oke sayang sinyal wifi kamar atas jelek,neg
lumayan tp kamar mandi kurang bersih bau,neg
kurang baik ac kamar suka mati,neg
muas sendok sm garpu nya kurang bersih,neg
sheet handuk nya perlu ganti channel tv ga bs akses bagi pintu geser lemari seret bgt jatuh geser wifi kenceng ac dingin kolam renang bersih snack nya,neut
kamar pas tp nyaman tv fungsi layan kurang ramah,neg
layan ramah sekali gang jalan masuk terlalu kecil kamar nya sendiri ac nya kurang dingin banyak nyamuk,neg
lokasi beda spot hotel muter nyari sampe menit nanya orang jg ga yg tau nyata cari yg nama hotel orang baru tahu kamar super mini ada lemari ac kurang dingin sudah set derajat kamar mandi blm bersih masih bau harus siram tiap sela aman baik ramah,neg
layan kurang baik pegawai kurang ramah sama tamu,neg
ada layan datang bantu bawa barang hal sulit masuk kamar bau apek sekali hingga jam hingga bantu wangi,neg
acnya kurang dingin,neg
hotel rumah hantu gelap sepi tidak reseptionisnya,neg
proses checkin lama menu makan cuma varian ada snack,neg
air kamar mandi kotor ac dingin seprai kotor kamar bau,neg
tempat bersih set mandi lengkap snack jg sayang bau rokok lingkung sangat sepi cukup strategis mana dekat,neg
pintu kamar mandi rusak buang toilet bocor tv receiver dapat guna remote nya untuk channel lokal gambar tv nya jernih yg lain,neg
layan muas kamar bagus tolong dong ada keset kaki kamar mandi biar nda basah klw kamar mandi makas,pos
kurang siap datang nunggu jam kamar bersih,neg
apa kamar mandi air ngecembeng bener so unmood mana makan bener auhjjj yaa kaliii rasa book asin pake bged solame lah suami bener kecewa dan cukup lah sekali aja mampir sana,neut
kamar bagus free snack meal sama water nya g,pos
check in jam malem kasih kamar paling ujung jauh banget lift jd bumil tua yg capek jalan lumayan jauh kamar pas masuk kamar kloset ga tutup ga lapis jd kalo babbak pantat sakit tv channel biasa wifi bad air panas super lama panas ac ga terlalu asa nginep mlm kapok,neut
seprai nya kotor ada air panas layan kurang kamar kurang bersih,neg
air panas d kamar hotel kurang maksimaljga fasilitas termos water heater ada ke recepcionis cafe pawon,neg
bagus bersih wifi lot anduk bau yg d benah lebih nyaman saja,pos
nyaman letak tengah kota cuman wifinya pake wifiid,pos
lokasi sangat strategis dekat bandara cukup mudah temu layan kurang ramah kamar bersih kamar mandi bau air panas kerja baik handuk sedia kecoa kering jendela serangga kamar mandi overal not bad dengan harga sangat jangkau,neg
nyaman cuma kamar mandi bauu,pos
di sheeting kamar biasa kali chek in guna airy rooms kamar di sheeting lebih atribut airy bantal makan alat mandi belum sedia pihak hotel,neut
fasilitas kamar lengkap cukup nyaman inap airy gambir cideng jakarta di kamar bau rokok padahal kamar yg tempat non smoking room,neg
sedikit kecewa layan nya kurang baik belum nya airysunrisemeal nya kurang lengkap,neg
lokasi strategis cuma jam malam jalan portal atas jam malam inap sekian kali cuma akhir kecewa ac mati jadi panas sekali handuk lengkap mandi cuma satu padahal harus harus minta dulu baru kasi wifi nya mati remote tv mati ganti chanel ga karena tv ga tombol manual belum okok sana tp alam akhir kecewa,neg
harga jangkau tempat strategispas kamar bau asap rokok pintu kamar mandi rusak,neg
layan baik n ramah full service mngkin bersih kamar mandi baik yaaa,neg
air kamar mandi panas ga jd dingin g room cleaning sy nd tinggal wifinya ngga nyambung padahal password udah bener,neut
kamar nya bilang bagus sayang awat nya kurang ac nya dingin sedia kompor tidak gas lat masak tdk papan reklame airy depan yg buat bingung cari lokasi nya mutar terimakasih airy,neg
kamar bersih tp bau asal dr lemari pakaianalhasil lemari g kepake krn takut bau ngikut biaya tambah org utk sarap terlalu tinggi utk ukur hotel bintang,neut
nyaman layan baik bersih saja beberapa fasilitas yg kurang awat spt kotak snack yg rusak lebih perfect kesana,neg
overall sy puas dgn layan airyroom saja yg perlu dperbaiki kamar mandi yg bau ptama masuk mhn dksh harum karbol,pos
kecewa banget ga worth it fasilitas ga lengkap ga air minum tas alat mandi airy tempat kumuh bau kotor padahal harga rb lemari rusak ac ga dingin lantai kotor ga ngerti airy masukin inap kayak gin pdhl udh sering nginep airy yg harga rb cukup bagus gak usah nginep sini cari yg aja,neg
lokasi sangat baikpelayanan oke pinggir jalan sekali yg lebih tingkat ialah bersih kamar tsb saja trims,neg
kesan harga super murah kolam renang bersih suram air krannya bau beddingnya kusam ac reyot selimut tipis suara tengah malam langit,neut
layan sangat muas tp dingin ruang kurang dingin perlu bersih terimah kasih,neg
inap city icon beri alam beda inap kamar kondisi kamar cukup nyaman ada yg benah posisi tv tv tempat tembok belah kamar mandi posisi tonton kasur lurus stop kontak perlu tambah agar charge handphone langsung,pos
kamar kurang bersih,neg
bagus lokasi startegis suasana tenang kurang sprei kotor air kurang deras,neg
layan baik kamar banyak semut tanya ada semprot nyamuk di respon dingin cuek,neg
airy progo bangun sama hotel progo sedang renovasi berisik breakfast siap jam tdk laku khusus check out seblm breakfast masuk yg segera brkt seblm jam pagi kamar luasac dinginbersih toilet tua tidak water heater moga lebih baik renovasi,neg
sedang istirahat kamar tiba buka pake acces tugas hotel alas salah cek kamar privasi ganggu harus kalau memang cek kamar harus sop nya daftar list kamar sdh isi jadi main masuk kamar ketuk pintu sangat kecewa tdk profesional sekali tangan,neg
kasur keras ac dingin suasana nyaman tv banyak semut lokasi pinggir jalan besar jadi akses mudah,pos
toilet kotor keran rusak,neut
acnya ga dingin tombol flush toilet nyangkut terus jadi benerin sendiri udah pindah kamar sama aja eh malah air showernya bau got,neg
layan jelek lantai kamar kotor sangat kotor saya sempat hilang barang sayang,neg
layan sangat ramahtapi kamar mandi bauuu sekali,neut
bau toilet hotel kurang rapi,neg
kamar sesuai foto sangat kotor kurang terawatfoto sangat tipu ada benar,neg
seprai di cekbaru tidak yg lai bagus khusus pandang mantap,neg
wifi jelek,neg
layan ramah air panas shower perlu baik,pos
kamar bersih air buat mandi kurang panas over all good,neg
kurang siap kurang bersih,neg
wafinya gk hubung,neg
ac nya rusak jadi ga tidur maleman lupa kamar berapa overall sih lumayan buat backpacker harga rupa,neut
kamar lumayan sayang wifi susah koneksi,neut
ac nya panas,neut
kamar nyaman bersih utk kolam renang d sih lumayan kotor,pos
selimut kuning tidak bersih lemari lumut dulu nginap sini layan bagus tp skrg turun,neg
hotel tua kamar kunci rusak kemudian pindah kamar ketel air rusak bau kamar mandi genang air,neut
hotel jorokkkkkkkk banyak semut,neut
kamar bersih hotel lamawifi parahmakanan ada variasi rasa okeposisi strategis,neg
kamar lumayan nyaman rapi sesuai harga sayang sedia tempat sampah tissue handuk keset lantai lihat kotor sudah pakai belum tamu ganti kamar mandi lihat kotor,neg
kamar mandi lebih rawat nyaman,pos
kamar bau cat kamar mandi bau sedap,neg
layan mantap suasana nya nyaman main keluarga anak depan lebih bersih ruang kamar masuk kamar mandi nya,pos
kamar bersih cukup baik sprei banyak noda agak bau fasilitas lengkap fungsi baik skor,neg
wifi sedia,neg
lokasi hotel seram banyak preman air asin kasur busa bukan springbed kamar bau apek sedia lengkap mandi seperti hotel airyroom yg pernah sepesan tempat,neg
air panas ga sih wkt aku nginap,neut
air panas kadang mati sendiri kamar sangat baik,pos
plus proses check in sangat cepat pegawai ramah tanggap breakfastnya enak minus kamar mandi kecil free snacknya sedia remot acnya suka mati,neg
waktu inap dapat snack air minum wifi tidak free,neg
ada rambut seprai kasur seprei kasur bersih dapat noda,neg
nice strategic location kamar masuk kamar sinyal wifi hilang,neut
kesan pertama waktu buka pintu yg cium malah bau toilet sarap tingkat lg overall sih oke tempat yg cocok utk singgah,neg
awal sempat ganggu aroma area kasur bau pesing padahal baru check in jadi,neut
kamar cukup luas kamar mandi kotor,neut
layan kurang ramah semua oke kamar bersih wifi mantap lokasi stategis over all,neg
pas awal sangat bagus sekarang kurang baik mungkin perlu maintenance jadi lebih bersih selimut handuk sering bau rokok hot shower pernah sekali waktu sedia tp walaupun sekarang kurang baik sy tetap pilih inap sini daerah nya nyaman mudah akses,neg
benar kamar baik tp kurang profesional kasih tau sarap nasi goreng mnta anter jam ehh dtg jam pun d telpon dl yg dtg malah mie muah telor hmmmmmm,neg
layan sangat optimal snack apabila memang snack jadi hak customer ada baik refill hari saya inap sana lama malam snack sedia di hari pertama terima kasih,pos
banyak semut kasur nya wifi bisa belum bayar token listrik bunyi token habis,neg
keren cuma ac nya aja kurang dingin,neg
kamar mandi air genang lantai kamar mandi jadi banjir smpek luber kamar mayan ngepel abs mandi wifi belum pernah nginep sini wifinya kenceng mayan lah sekarang connect sih tp ga bs apa udh protes kelola tp sm aja slh oknum jaga aman minta uang parkir sungguh buat nyaman,neg
tempat kurang bersih tipe inap lama aku personal terus terang horror sempet sarap soal baru ready jam padahal keburu pergi pegawai cukup ramah,neg
semua baik cuma shower air panas buat mandi gak fungi,pos
kalo itinerary putar minyak tempat nya dan relatif deket kmn kamar mandi perlu tingkat bersih nya itu,neg
layan oke kok cuman kecewa aja waktu masuk kamar bau nyata sumber bau bed covernya besok minta ganti langsung ganti kok thanks,neut
kamar mandi kotor bau banyak semut kamar taruh makan sembarang layan kurang baik receptionis pegawai fasilitas ac kurang dingin wifi tidak dapat guna tidak inap sana pokok,neg
mungkin layan hotel aja kurang muas biasa hotel lain kalau orang masuk selalu sambut ramah senyum,neg
breakfast enak tempat bagus saat tidur tiba orang yg buka pintu kamar padahal sedang tidur kamar kunci entah tamu atau tugas mohon perhati,pos
kamar kecil dgn tv sangat mungil kamar mandi bersih jorok selimut sprei noda besok di komplain ganti dgn yg bersih kolam renang air kotor sdh lama kuras walaupun sedikit kecewa agak obat snack airy bath set airy over all lumayan,neg
akan bagi alam inap airy masuk kamar ingin baring aku mersa kecewa sarung bantal bau kesan pertama ada pikir kusut berfikir ganti g sarung banyak nyamuk banyak semut saya baru sadar ketik di bandara nyata tas q bnyk smut,neut
wifi tdk pintu kamar mandi tdk kunci,neut
wifi hubung kamar sedikit bau lembab,neg
bersih nya perlu tingkat kan lgjangan kamar nya doank bersihin tp luar nya hrs perhatiin,neg
kamar mantap cuma air panastapi over all muas,neg
lantai kamar pasir sprei kotor ga ganti lantai kmr mandi byk rambut shower closet ga nyala,neut
hotel jadi satu kost kotor berisik bersih perlu tingkat,neg
ruang oke cemilannya mungkin tambah roti kopi teh harga naik rb gapapalah biar bintang ohiya fulmar house fasilitas sedia air panas diweb airyrooms fulmar gak sedia air panas sama securitynya intimidasi gak ramah sama tamu,neg
tak sesuai espektasi kamar sempit pintu kamar mandi rusak cek in tunggu terlalu lama malam suara berisik dr atap kamar nyaman,neg
ga masalah hotel lama cuma sayang aja kurang bersih liat sprei ga ganti ga rapihin p,neg
kamar udah lumayan saja handuk bau gk cuci trus bawa kasur apel busuk mungkin sisa tamuitu aja sih,neg
sangat bagus air bau,pos
sangat kecewa skrg bayar parkir its oke aja kalo tempat parkir parkir jalan pdhl parkir dalam cctv dan banyak karyawan,neut
cukup baikhanya wifi nya sedikit perlu baik,pos
kamar jangkau sedia snack makan pagi saja kamar bau baik ikan wangi kamar,neg
kamar luas tempat nya masuk dalam gang sinyal wifi stabil staff ramah parkir luas,neg
tempat bagus layan lebih tingkat lg kesana sama keluarga anak sy senang sekali kolam renang,neg
wifi nya aja baik dan air panas terlalu panassssssss,pos
handuk sangat kecil lalu sabun sampo sangat sedikit bisa pakai kali,neut
kamar mandi bau rokok lantai kamar licin minyak kecewa,neut
tingkat fasilitas layan wifi sampai kamar air hangat hangat remote tv fungsi kurang harum ruang,neg
nyaman baik bersih wifinya gak sampe kamar,pos
tempat tidur nyaman acnya cukup dingin water heaternya lama buat air panas,pos
bersih kamar kurang perhati terang kamar kurang,neg
listrik sempet mati kasur bau,neut
kamar mandi air hamgatnya ada lebih baik,neg
jaga kurang ramah,neg
tiba kamar mati lampu semut nya gak free snack tdk sesuai gambar ada pouch nya,neg
kamar mandi kotor lama inap hr mlm cm d sih kamar kotor minta keset kamar mandi lama cm x d beri air putih,neut
so far bagus puas tp sayang wifinya tdk gratis hrs beli vocher dulu dapet lantai capek naik turun tangga,pos
masuk gang nya kotor jorok kamar nya sempit kamar mandi kotor ac nya lama banget dingin nya kecewa ga ygdi tampil foto,neut
kurang hal bersih kamar mandi,neg
kebersijan kamar mandi perlu tingkat,neg
bagus bersih cuman bantal ganti utama bantal airy warna biru bauk spreinya tolong di ganti kalau ganti orang inap,neg
kamar sempit keramik toilet seperti yg kopong jd kalo injek ngerembes air toilet bau lebih oke sesuai harga,neut
plus kamar bersih tempat tidur cukup empukpelayanannya cukup bagus minus kamar banyak nyamuk toilet penuh kecoa,pos
snacknya ga,neut
mantap nih sayang wifi sinyal kurang bagus kamar seperti kamar lantai kalau depan kamar si bagus sinyal,neg
inap malam airy eco sleman jembatan merah first impression masuk dalam kamar kecewa kamar terlalu luas padahal sy pesan family room kamar mandi bau room matekeset kaki bau sekali hari minta sih toilet tetap ada kotorbausemua sangat kecewa,neg
review bagus makanya pilih saya kamar yg debu banyak sarang labalaba selimut debu ngga tisu lantai sapu layan ramah baik terima kasih moga tingkat,neg
kamar atur airy rooms bantal kain snackbar mineral water tdk awal telp receptionist baru siap air panas bilang hangat sama sekali koneksi internet pagi sempat lot breakfast cukup oke,neg
spreynya oil noda apalahsdh minta ganti tetap huhuhu kamar mandi kotor bau hixx,neut
resepsionis check in kurang ramah berisik ada tissue,neg
nyaman kamar mandi bau ngga gantung baju lingkunganya berisik,neg
banyak jajan d luar hotel kamar mandi nya bau kurang bersih licin gak keset,neg
layan ramah fasilitas mumpuni cuman kurang bersih kamarandi lebih muas nilai plus di breakfast yg enak,neg
selimut gak,neut
kamar cukup luas nyaman harga jangkau tugas bersih kurang pasti aroma kamar cium bau rokok bersih loronglorong harus perhati,neg
kamar gak sesuai yg tampil acnya gk dingin,neg
bagus kamar lembab kamar mandi sedikit kutang awat injil dalam utk yg muslim jgn kejut makan insha allah halal,pos
walaupun hotel pindah alas renovasi kamar seperti downgrade tp keluarga tetap rasa nyaman ac dingin kasur empuk air panas tp langit banyak sawang kamar mandi tp overall oke,pos
baguss wifinyaa lemottt bangett,pos
kamar lain bagus cuma ac nya selalu kurang dingin,neg
kamar asa pengapaddmill sesuai,neg
lama guna airy rooms airy paling kecewa wifi g connect kamar pintu kamar mandi ga bs tutup kalau kunci dr ac netes mulubocor shower di pegang ga bs di taroh tempat yang parah listrik kamar mati abs pulsa listrik tp responnya kurang tanggap nih ga inisiatif cepet,neg
layan muas makan enak cuma kamar mandi bau over all,neut
not bad at all dapat kamar lantai tidak lift kolong tmp tdr yg kotor kamar mandi yg cm m x m luas,neg
sgt nyaman saja water heater kurang panas mhn sdh sedia selimut bg yg inap tdk hrs minta dulu resepsionis baru sedia,neg
kamarx sempit handukx lambat ikan di minta ulang x sore sore bru anta,neut
kapok nginep sini tugas milik inap sama tdk sopan tdk tata krama nyamenerima customer pakai sarung marah nunjuk krn telat datang jam terbang delay pdahal tulis batas ci jam lg siang sy sdh telp airy klo dtg nya malamparkir mobil amburadul jalan tdk yg atur,neut
viewnya bagus overall tempat kurang awat nyata toilet camping room ada luar wlwpun terang traveloka private bathroom toilet awat shower karat keramik lantai kerak complain kalau tv hidup cek resepsionis kata wifi sdg masalah tv hidup akhir kutak atik sendiri ganti batre nyata hidup mungkin resepsionis males cek room karna room resepsionis jauh di room telpon kalau mau kontak resepsioniscleaning service jalan k resepsionis tdk ada akses jalan dekat pantai waterboom jadi males banget mau turun pantaiwaterboom breakfast nasi gorengayamtelor dadarnutrisari jeruk,neg
kamar bagus yg kurang bersih kamar mandi,neg
layan kurang kamar kotor servis muas,neg
kamar paling dalem sinyal hp sangat susah wifi super lot serasa hidup goa shower kecil banget muncul beneer jadul,neut
wifi buruk kurang maksimal,neg
murah nyaman sinyal tv nya kurang bagus wifi belum stabil ada keset remote ac nya suka macet,neg
air mandi tdk hangattdk dpt toiletries khas airy tdk snackbantal piranti airy,neut
tempat nya nyaman mes ac kurang dingin,neg
kamar bau shower rusak washtafle rusak pengap kotor,neut
seluruh lumayan bagus air panas nya bisa pakai,neg
kamar lumayan luas kasur nyaman sprei bersih rapi aminities lengkap welcome snack kamar bersih hari bangun hotel model lama colok ada siar tv bnyak yg g da sinyal nya pass wifi tdk info fo ramah sarap tdk hidang ac kurang dingin n berisik,neg
